sensor_1,sensor_2,sensor_3,sensor_4,scenario,mean,peak,p2p,rms,std,variance,crest_factor,shape_factor,clearance_factor,np4,skew,kurt,session_id,raw_scenario,state,window_id,rel_diff_fl_rl_mean,rel_diff_fl_rl_std,rel_diff_fl_rl_p2p,rel_diff_fr_rr_mean,rel_diff_fr_rr_std,rel_diff_fr_rr_p2p,rel_diff_fl_fr_std,rel_diff_rl_rr_std,norm_rolling_var_mean,norm_rolling_var_max,norm_p2p,norm_rms,norm_std,norm_fft_peak_freq,log_norm_fft_spectral_energy,fft_spectral_entropy,norm_fft_spectral_centroid,fft_energy_low_band,fft_energy_mid_band,fft_energy_high_band,speed_kph,grade_pct,audio_stft_band_1,audio_stft_band_2,audio_stft_band_3,audio_stft_band_4,audio_stft_band_5,audio_stft_band_6,audio_stft_band_7,audio_stft_band_8,audio_stft_band_9,audio_stft_band_10,audio_stft_band_11,audio_stft_band_12,audio_stft_band_13,audio_stft_band_14,audio_stft_band_15,audio_stft_band_16,audio_stft_band_17,audio_stft_band_18,audio_stft_band_19,audio_stft_band_20,audio_valid
1,0,0,0,0,55.902875,57.625,4.40625,55.912181141500824,1.0200817292624156,1.040566734375,1.0306340912396965,1.0001664698193218,7.7071509780496275,1.0013225937797858,-0.3512236065546957,-0.7271069024669372,normal_high speed 60kph,high speed 60kph,normal,win0,0.022602522322673235,0.0051436247924407895,0.033318729188429964,0.017722175582903545,0.004032149780120403,0.03614235030609352,0.004374520931172407,0.004935685061483304,2.5173358889985433e-05,6.023435270732824e-05,0.07962611551811229,1.0103988185969393,0.018434075599923938,0.012293461254687565,6.237089716501418,0.002479837755837731,1.0489316396384797e-05,6.872258256303274e-06,1.9507115619345933e-07,0.0,60.0,0.0,0.062167842,0.025075061,0.0192119,0.011869033,0.009802583,0.009635779,0.0062625436,0.004417936,0.0034630795,0.002938997,0.0026184989,0.0022851776,0.0019150289,0.0016233834,0.0014401566,0.001305984,0.0011579165,0.0010547917,0.0009784369,0.0009185583,True
1,0,0,0,0,54.6945625,55.4375,1.375,54.69510477481623,0.2435554592259225,0.05931926171875,1.0135733394833097,1.0000099146019539,7.49603422542962,1.0000793662640568,0.14577170514238688,-0.17855037255288497,normal_high speed 60kph,high speed 60kph,normal,win1,0.02173432558894955,0.004829407611979428,0.030180114575554817,0.01967163083507413,0.0033057991543491605,0.020313538656623432,0.004160591635210631,0.005638406417145289,7.466371951715961e-06,9.844613647821494e-06,0.02553702002546946,1.015818171585187,0.004523404101501668,0.012634419788640489,6.247923631483537,0.00019272961373688568,4.081585244811746e-06,3.7016770307492413e-06,3.7583336610106524e-08,0.0,60.0,0.0,0.070407785,0.019694744,0.017820325,0.011454077,0.009383588,0.009164871,0.0059109055,0.004265896,0.0034534056,0.0029657737,0.0026526581,0.0021152499,0.001910865,0.0016184564,0.0014013946,0.0012398658,0.001132398,0.0010403647,0.00092228875,0.00090465305,True
1,0,0,0,0,55.7065,56.625,1.9375,55.70867554744054,0.49233017376553306,0.242389,1.016448505435731,1.0000390537449049,7.586741356678078,1.0003117260559382,-0.24130657131405997,-1.1784923242546073,normal_high speed 60kph,high speed 60kph,normal,win2,0.021790517443357117,0.005028297006929559,0.03421519539938833,0.0201242374274069,0.003227144751106035,0.02395063677957183,0.0035878174189341336,0.004674723895988916,8.876316471310938e-06,1.6017634254482193e-05,0.03535570191270127,1.016577716958296,0.008984092318081347,0.01241382259931176,6.2493865324100355,0.0006563705703513894,4.507382413194665e-06,3.312527786681116e-06,6.152171905698863e-08,0.0,60.0,0.0,0.07728211,0.022742864,0.020497309,0.012543932,0.010014539,0.009110111,0.0060650506,0.0044512837,0.0036039818,0.0030103128,0.0026859038,0.0021919122,0.001926308,0.001704332,0.001454101,0.0013219271,0.0011987594,0.0011041154,0.001002041,0.0009569421,True
1,0,0,0,0,54.1045625,55.09375,2.21875,54.10803409398298,0.6129194067891389,0.37567019921875,1.0182175516542493,1.0000641645329444,7.490061595301647,1.0005114061259206,-0.31091151980787846,-1.2293823936254884,normal_high speed 60kph,high speed 60kph,normal,win3,0.02208337327085154,0.004875096876243523,0.0321369934353822,0.018491041713747363,0.003949024594053901,0.03798008315090623,0.005526034685502549,0.0070204064213573525,8.795628912532292e-06,1.6129090105305542e-05,0.041485936980220656,1.0117059121336827,0.011460297863215074,0.012719801007699441,6.23977237376733,0.0010847427267982408,5.47204898652317e-06,4.652973405807906e-06,7.694568351770534e-08,0.0,60.0,0.0,0.09390361,0.03447743,0.023928812,0.014127628,0.0112360325,0.009973688,0.0066970782,0.0052037565,0.004042109,0.0034486845,0.002930402,0.002448268,0.0021900584,0.0018712659,0.0016398799,0.0014447485,0.0013016061,0.00122019,0.0011225194,0.0010736458,True
1,0,0,0,0,56.2659375,57.21875,3.625,56.27289206055945,0.8846796626286545,0.78265810546875,1.0168084117379759,1.0001236016117114,7.628086097671047,1.0009689823081318,-1.2583812403065697,0.5048330781680344,normal_high speed 60kph,high speed 60kph,normal,win4,0.023248094172864744,0.004361005003200796,0.022996811935134493,0.01738222443584922,0.0032950015810879027,0.018509629118522886,0.0027129081576445263,0.004883116783085611,1.0061515679595787e-05,3.937564771983628e-05,0.06506415084086832,1.0100270171807286,0.015878877521412215,0.0122101650975079,6.2363978527807795,0.0020652566324493578,8.851296469844207e-06,1.1412564855571258e-05,4.268962256941399e-08,0.0,60.0,0.0,0.08659948,0.026856719,0.017936679,0.012710022,0.010858394,0.010541923,0.006571392,0.004804679,0.003806436,0.0030122006,0.0028387543,0.0023411538,0.0020061946,0.001658116,0.0014592329,0.0013304759,0.0012074263,0.0011092224,0.0010244651,0.0009527453,True
1,0,0,0,0,56.90025,57.53125,1.09375,56.9006094129272,0.20224119263888848,0.0409015,1.0110831956560649,1.0000063165439028,7.626876656035084,1.000050604632818,0.4069853625950016,-0.10356759631777646,normal_high speed 60kph,high speed 60kph,normal,win5,0.02239976397343363,0.004560294690108183,0.026116017730486718,0.01816452382148108,0.003555785213497413,0.03111695729589907,0.004991445314169509,0.006695670139056273,6.243757123599478e-06,8.564825934507081e-06,0.01944809830993692,1.0117564761215363,0.0035960746027519945,0.012096141413260214,6.239929844586012,0.00012675546001520525,3.599981755518724e-06,3.157176374725363e-06,3.1621565619492802e-09,0.0,60.0,0.0,0.080977015,0.024362942,0.012878856,0.009431115,0.008169079,0.008582502,0.0047510006,0.0033749552,0.002481484,0.0021029857,0.0019986227,0.0016943477,0.0014332965,0.0011374039,0.0010240788,0.000866919,0.00080232165,0.00079496537,0.00073570706,0.0006821475,True
1,0,0,0,0,57.249,57.65625,0.96875,57.24925487369901,0.1708291361273012,0.02918259375,1.0071091777036905,1.0000044520201052,7.620131038151152,1.0000356016000687,-0.13293155814236002,-0.4661987934914409,normal_high speed 60kph,high speed 60kph,normal,win6,0.02179740880376069,0.00503897171125066,0.027741954899659787,0.01997975591873498,0.0033715732666550436,0.02108388572374144,0.0036791480577646972,0.0048729753868549264,7.82609865443729e-06,1.020129527216751e-05,0.017200012037789068,1.0164519979169833,0.0030330458815945164,1.038731415661113,6.249174179556184,8.878923400125314e-05,4.334724690064449e-06,3.695622405017894e-06,2.2430543009430506e-09,0.0,60.0,0.0,0.08003996,0.03559771,0.022481188,0.013391143,0.010006299,0.0100381365,0.005827549,0.004244338,0.0032012328,0.0025433598,0.0022956186,0.002010123,0.0016698224,0.0014369596,0.0012624055,0.0011132078,0.0010377328,0.0009664378,0.0008838517,0.0008506063,True
1,0,0,0,0,57.061625,57.53125,1.03125,57.061941159640284,0.18995069261521527,0.036081265625,1.0082245509147112,1.0000055406701138,7.616084300883303,1.0000443168965631,-0.053042883203244545,-0.1944025557064708,normal_high speed 60kph,high speed 60kph,normal,win7,0.021562241212229955,0.00514027108790504,0.03559226858513147,0.019878282004795925,0.003898083419986395,0.024469684652277883,0.004707626258607599,0.006141782078281193,8.877161064917781e-06,1.4860894027636685e-05,0.01835226348920841,1.0154819678714424,0.0033803880347462447,1.0411466496268649,6.247267216191295,0.00011314401371757821,5.008248366302439e-06,4.2950269785920665e-06,1.2749289225255216e-08,0.0,60.0,0.0,0.077278435,0.029815663,0.020036489,0.012826209,0.00981736,0.0093066,0.0057708137,0.004278794,0.0032129607,0.0027527653,0.0024351117,0.0020829574,0.0017220825,0.0014532414,0.0012937508,0.0011376386,0.0010334152,0.00095559936,0.00089948386,0.00086976454,True
1,0,0,0,0,56.686375,57.0625,0.75,56.6865705202189,0.14888486533224257,0.022166703125000003,1.0066317202880886,1.0000034491572076,7.578992061066632,1.0000275964847842,0.04807956711996911,-0.4068489691954711,normal_high speed 60kph,high speed 60kph,normal,win8,0.022265080442760522,0.004658604768097375,0.03339428123601718,0.017484132512470732,0.0036956758680151826,0.02504571092701289,0.0032888563766771254,0.005057760836118146,6.543829215935013e-06,8.501252859462093e-06,0.013357712494406874,1.0096038817373392,0.0026516816345021088,1.0298584443994856,6.23568133488763,6.883101172725806e-05,3.509716880580008e-06,3.1368401352019904e-06,7.92898609396853e-09,0.0,60.0,0.0,0.08120649,0.02450357,0.018031063,0.009933041,0.008881244,0.0090918895,0.0051324847,0.003559886,0.0027432756,0.002279253,0.0021601147,0.0017351415,0.0014886198,0.0012263651,0.0010709305,0.0009617293,0.0008599739,0.00078341115,0.00074658636,0.00070052524,True
1,0,0,0,1,17.1976875,20.46875,6.125,17.328843537852578,2.127995068537225,4.528363011718749,1.1811953841748706,1.0076263763865099,4.9357856967577565,1.0612037057518664,0.23360503191846604,-1.6660863260879695,normal_hills 30 degrees,hills 30 degrees,normal,win0,0.028654796774704987,0.01735883807010796,0.1324907120330567,0.023590707336997044,0.01595140480453827,0.1306505632548198,0.009108691098997933,0.013695591336983242,0.0003793516892955416,0.0013285036764502662,0.36066916053443215,1.0204048084620096,0.12530648081481346,0.040058148735633015,6.249373145939042,0.07290425422005296,0.0007420275685402899,0.0006739210887241052,3.2302713043953374e-05,0.0,0.0,30.0,0.048762593,0.028215379,0.016882408,0.009968857,0.007936815,0.009296412,0.0047669257,0.003222665,0.002588899,0.0031769471,0.0071756355,0.004972678,0.0023607796,0.0018416297,0.0010450572,0.0009891315,0.0010986686,0.0014286214,0.0012870678,0.0011715352,True
1,0,0,0,1,16.184125,18.125,3.5625,16.210922364450767,0.9317198563007015,0.8681018906249999,1.118073333060101,1.0016557808624664,4.505400502948285,1.013619548707088,0.5806831130818383,-1.1282313293646524,normal_hills 30 degrees,hills 30 degrees,normal,win1,0.018476691323260176,0.015791702771701274,0.13225421157702022,0.013738878685001042,0.01784324563991177,0.1283643818247549,0.011593324186929158,0.013896884841025922,0.00015947382952344864,0.00041617096900068204,0.22172029587912212,1.0089236499984566,0.05798770588503711,0.04233880049245274,6.2326907317031965,0.02031991437392551,0.00039383803770283503,0.00022365021760842253,3.320144792468774e-05,0.0,0.0,30.0,0.047246363,0.012442552,0.010495171,0.004721022,0.0040390217,0.0054304316,0.0026517739,0.0019117121,0.0015959244,0.0022346177,0.005069095,0.003374014,0.0017197578,0.0013187506,0.0007326034,0.000694946,0.00077872834,0.0009116223,0.0008403228,0.00072719017,True
1,0,0,0,1,20.1519375,23.125,4.0,20.172930452635654,0.9200750202938617,0.84653804296875,1.146338161145975,1.0010417337109971,5.1513770361275615,1.0088802654465592,1.4813700971886188,1.4895466173499354,normal_hills 6 degrees,hills 6 degrees,normal,win0,0.023967210524159795,0.010568750578370522,0.08148914262170193,0.019112338142582244,0.009178114949520281,0.08148914262170193,0.004554385195433901,0.009664180351921382,8.289504079750131e-05,0.0005950318269243869,0.20058865876111243,1.0116152656938466,0.04613915357008725,0.03411413030277149,6.238619559846235,0.014873325792547076,0.00021290691921318835,0.0003734892859920539,1.2103255965251237e-05,0.0,0.0,6.0,0.05126087,0.0124859065,0.011316902,0.0066440264,0.005191515,0.0064423224,0.00341763,0.0025012414,0.0020863593,0.0024242133,0.0048959055,0.0032688063,0.0017542458,0.0014847554,0.00096338015,0.00088328565,0.0009071568,0.0010042475,0.0009304926,0.0008412485,True
1,0,0,0,1,21.239875,25.65625,6.6875,21.346171897731452,2.1276194847469787,4.526764671875,1.2019133980049415,1.0050045914927206,5.566948460030275,1.0429562736552254,0.8898474557897312,-0.9266737640749216,normal_hills 6 degrees,hills 6 degrees,normal,win1,0.020849571970813805,0.017736982520356732,0.21223581946372252,0.01611508061354615,0.0194380404357947,0.2152041526030753,0.015522213808516764,0.012001475627918673,0.0003807571576903575,0.0024253264865537485,0.3176116459107456,1.0138007910777107,0.10104773479211371,0.032308778033136996,6.238996043070525,0.05539001596964771,0.000691023430743128,0.0005207183725583706,5.178082065086664e-05,0.0,0.0,6.0,0.06301777,0.01265324,0.009565091,0.004416383,0.0037682783,0.0058582663,0.0026220568,0.0017145431,0.0014667878,0.00213138,0.004989949,0.0034311295,0.0016020612,0.0012711168,0.0007332883,0.00068870466,0.0007820253,0.0009533031,0.0008618889,0.0008139507,True
1,0,0,0,0,76.088,77.15625,1.96875,76.08899838860576,0.38978427527287446,0.15193178124999998,1.0140263590531646,1.0000131214988666,8.845309371169996,1.0001049896265009,0.04011322353211283,-0.7129718898406554,normal_high speed 80kph,high speed 80kph,normal,win0,0.022056619389470872,0.004693006506892328,0.024999001914848544,0.020522513971963,0.0037182943215232946,0.028748852202075827,0.005648976473157934,0.007827741505153678,8.846337012080812e-06,1.2587609304895028e-05,0.02624895201059097,1.014479475421687,0.005196916183426369,0.009070039088027953,6.245287998969257,0.00025433759607502114,4.830593882722888e-06,4.453587334455236e-06,0.0,0.0,80.0,0.0,0.074966975,0.023609918,0.023387225,0.011853167,0.0097954245,0.009326902,0.005710869,0.0046208473,0.0035245304,0.0029597667,0.0025359963,0.0021518774,0.0018529007,0.001556762,0.0013723784,0.0012908101,0.001163982,0.0010811543,0.00100213,0.0009300053,True
1,0,0,0,0,73.5895,77.15625,14.1875,73.7242655312686,4.45565010688676,19.852817875,1.0465516264421217,1.0018313146749007,8.99421335765836,1.0135195391344007,-1.2054596271451319,-0.12524238995612968,normal_high speed 80kph,high speed 80kph,normal,win1,0.019106287955887948,0.007310116809384609,0.04567171485035455,0.020924539245213383,0.005705311466576825,0.05213469336691416,0.007181267144710685,0.005209237590907197,0.0001016051719833215,0.00037637654671987536,0.19561281643453743,1.0164871344591464,0.06143311129198005,0.00937948934707104,6.247423147979334,0.023124214414319267,7.100578373546936e-05,8.903160649073905e-05,0.0,0.0,80.0,0.0,0.085959375,0.022461008,0.020275172,0.010588867,0.00796129,0.008024316,0.0050064027,0.0039058889,0.0030547767,0.00250085,0.0021352915,0.0018006848,0.0015085348,0.0013534514,0.0012028948,0.0010573523,0.0009977414,0.00088933605,0.00082316465,0.00078366644,True
1,0,0,0,0,71.009375,74.46875,11.34375,71.10284505010155,3.6446174460600114,13.283236328125,1.0473385410601603,1.0013163057709147,8.837231236157239,1.009947562470036,-1.0130384554034204,-0.47877145978804103,normal_high speed 80kph,high speed 80kph,normal,win2,0.024032048805067253,0.004871933677604121,0.03336178248213904,0.019923656498333435,0.004623298451251778,0.08095792548999073,0.004550290577855507,0.004865964652716085,5.5541077892842955e-05,0.00017239301991315436,0.16147102721355294,1.012103530847029,0.051878798705520306,0.009683352156795062,6.2393086881387285,0.016790351531328178,4.295424892220181e-05,5.359089272122135e-05,0.0,0.0,80.0,0.0,0.08690657,0.026709199,0.02073422,0.010733834,0.008203772,0.007258997,0.0047371904,0.0034876491,0.002773356,0.0022645583,0.0018838841,0.0016394272,0.0013761733,0.0012138359,0.0010792402,0.000981965,0.0009309307,0.00084856834,0.00079586735,0.00073067285,True
1,0,0,0,0,75.591375,77.0,3.71875,75.59581151591668,0.8189898408252693,0.6707443593749999,1.0185749508593829,1.0000586907688434,8.856346557643887,1.000464487556645,-0.9772936680545554,0.058881204271536536,normal_high speed 80kph,high speed 80kph,normal,win3,0.023422384505899566,0.004425270032469611,0.024657781133539263,0.018936340053570578,0.003137134521708972,0.018388853726707247,0.003838920711232272,0.005175654207414916,8.441594147242288e-06,1.4446901158367468e-05,0.049733490760867326,1.010996596594853,0.01095293409934191,0.009097869880871556,6.238377756736551,0.001052730684416881,5.401430576224867e-06,7.104077426631288e-06,0.0,0.0,80.0,0.0,0.096288644,0.025808098,0.019916262,0.009587251,0.0069599035,0.007022752,0.003971729,0.0030425116,0.0022594195,0.0017559989,0.0015192783,0.0013137286,0.0010747502,0.00091758295,0.00081381603,0.00077916466,0.000731271,0.0006786787,0.0006428352,0.0005902834,True
