state,target,scenario,speed_kph,grade_pct,window_idx,slip_ratio_fl,slip_ratio_fr,slip_ratio_rl,slip_ratio_rr,slip_diff_front_rear,norm_yaw_rate,norm_lat_accel,mean,std,p2p,rms,variance,peak,crest_factor,shape_factor,skew,kurt,diff_fl_rl_mean,diff_fl_rl_std,diff_fl_rl_p2p,diff_fr_rr_mean,diff_fr_rr_std,diff_fr_rr_p2p,diff_fl_fr_std,diff_rl_rr_std,lat_accel_mean,lat_accel_std,yaw_rate_mean,yaw_rate_std,sas_angle_mean,sas_angle_std,sas_angle_p2p,sas_speed_mean,accel_pedal_mean,accel_pedal_max,brake_pedal_mean,brake_pedal_max
abnormal,1,high_speed_60kph,60.0,0.0,20,0.9569614583333333,0.9447958333333334,0.93594375,0.9246072916666667,1.2361874999999998,-0.11055533333333332,-1.6426599999999998,56.434625,0.7377644758830557,2.5,56.43944715633295,0.5442964218749999,57.75,1.0232204935816687,1.0000854290472831,0.04596956420248358,-1.2586869004795378,1.2610625,0.27305541876833356,1.25,1.2113125,0.2670464832547884,1.15625,0.22764469128172085,0.30953475042190337,-1.6426599999999998,0.18538156434769884,-6.633319999999999,0.25517479812865534,-65.98280000000001,0.1573027653920896,0.3999999999999915,0.0,0.0,0.0,0.0,0.0
abnormal,1,high_speed_60kph,60.0,0.0,21,0.9547572916666667,0.9433947916666666,0.93445625,0.9230833333333333,1.2183750000000089,-0.10751000000000001,-1.6301,56.335375,0.7203888761026922,2.375,56.33998079981424,0.5189601328125001,57.53125,1.0211442773343191,1.0000817390446501,0.026106050794485663,-1.2754865898125909,1.2180625,0.2409484757551913,1.09375,1.2186875,0.253618338687781,1.0,0.29827325978035646,0.23070269693915588,-1.6301,0.1424394257219538,-6.4506000000000006,0.20274920468401353,-65.2374,0.3310305726062179,1.2999999999999972,1.032,0.0,0.0,0.0,0.0
abnormal,1,high_speed_60kph,60.0,0.0,22,0.9538770833333333,0.942228125,0.9335125000000001,0.922075,1.215531249999998,-0.10862266666666669,-1.6602799999999998,56.275390625,0.7224026370856902,2.5625,56.2800271461058,0.5218655700683594,57.53125,1.022232075837737,1.0000823720807968,0.004595372714283601,-1.2480173734752775,1.221875,0.2925741092014124,1.65625,1.2091875,0.26632694750766395,1.15625,0.29499742451206246,0.27659057060933945,-1.6602799999999998,0.17057878414386707,-6.517360000000001,0.25722952863153176,-65.6334,0.48812338604086647,1.5,0.504,0.0,0.0,0.0,0.0
abnormal,1,high_speed_60kph,60.0,0.0,23,0.9533291666666667,0.9420208333333334,0.9328260416666667,0.9219489583333333,1.21725,-0.103391,-1.6647199999999998,56.251875,0.7130106448626837,2.3125,56.256393638370675,0.5083841796875,57.46875,1.021550534288993,1.0000803108925769,0.03661641393518318,-1.3023768174402595,1.2301875,0.22433940351340423,1.03125,1.2043125,0.2162638994810507,1.03125,0.2605677694957686,0.23880100894887357,-1.6647199999999998,0.12188404981784942,-6.20346,0.24126049904615549,-64.36399999999999,0.11217842929904212,0.5,0.448,0.0,0.0,0.0,0.0
abnormal,1,high_speed_60kph,60.0,0.0,24,0.9526572916666667,0.94164375,0.9319666666666666,0.921990625,1.2103125000000006,-0.10211666666666666,-1.68568,56.223875,0.7007132972906965,2.46875,56.22824129510566,0.49099912500000004,57.46875,1.0220620039727317,1.0000776413050154,0.0610182205671321,-1.3060683056092703,1.2414375,0.264949368689095,1.09375,1.1791875,0.21195528530506147,1.0,0.2318671747331864,0.22096707722814726,-1.68568,0.1150762251727089,-6.127,0.18182574075196284,-64.31619999999998,0.036845081082828836,0.10000000000000853,0.0,0.0,0.0,0.0,0.0
abnormal,1,high_speed_60kph,60.0,0.0,25,0.95259375,0.9413552083333333,0.9320604166666667,0.9216677083333333,1.2066249999999954,-0.10253933333333334,-1.70002,56.21515625,0.7076795370423237,2.59375,56.219610480143515,0.5008103271484375,57.46875,1.0222189105717616,1.000079217605382,0.043824999523351116,-1.250133757057341,1.232,0.225130656508615,0.96875,1.18125,0.26454560098402696,1.03125,0.25495081480307136,0.27095008621284844,-1.70002,0.14442091122825668,-6.152360000000001,0.16502130286723588,-64.32439999999998,0.0867446828341663,0.4000000000000057,0.112,0.0,0.0,0.0,0.0
abnormal,1,high_speed_60kph,60.0,0.0,26,0.9517020833333334,0.9399062499999999,0.9309677083333334,0.9200458333333333,1.2178437500000001,-0.10735600000000001,-1.72752,56.139328125,0.7206139402812954,2.65625,56.14395289590272,0.5192844509277345,57.34375,1.0213699966041194,1.0000823624181976,0.036712384252553756,-1.2655766298274185,1.2440625,0.28645513255787547,1.21875,1.191625,0.2674944800832346,1.34375,0.19088633725335086,0.2764611396177589,-1.72752,0.11387822267668214,-6.44136,0.21525461760436176,-66.37639999999999,0.6940338896624587,2.200000000000003,0.592,0.0,0.0,0.0,0.0
abnormal,1,high_speed_60kph,60.0,0.0,27,0.9521,0.9398708333333333,0.931459375,0.9196822916666666,1.2248749999999973,-0.11185433333333333,-1.68898,56.1466875,0.7363247813252994,2.625,56.15151548628273,0.54217418359375,57.40625,1.022345496475127,1.0000859709879903,-0.0070949148272923925,-1.226175893486529,1.2384375,0.2823469925796094,1.59375,1.2113125,0.2683524603366811,1.1875,0.20310480668856656,0.2652855478065098,-1.68898,0.13993412593073928,-6.71126,0.2536348012398929,-66.802,0.12710625476348938,0.30000000000001137,0.112,0.0,0.0,0.0,0.0
abnormal,1,high_speed_60kph,60.0,0.0,28,0.952125,0.9404625000000001,0.931640625,0.9205989583333333,1.2104374999999976,-0.10729399999999999,-1.67144,56.17240625,0.7161595376719055,2.28125,56.17697133522274,0.5128844833984375,57.375,1.0213259564368888,1.0000812513731596,0.035439948300134555,-1.2804992826592136,1.2290625,0.27527880043466846,1.21875,1.1918125,0.2453054457584462,0.875,0.28890677562147965,0.2590924666021766,-1.67144,0.13470087750270968,-6.437639999999999,0.22581680716899705,-65.1888,0.9238585173066235,2.299999999999997,0.896,0.0,0.0,0.0,0.0
abnormal,1,high_speed_60kph,60.0,0.0,29,0.9528656249999999,0.9416885416666666,0.932165625,0.9216489583333334,1.2221874999999969,-0.10309633333333333,-1.65732,56.22553125,0.7135435826464543,2.40625,56.23005876565543,0.5091444443359374,57.40625,1.0209174637061826,1.0000805064082863,0.04568201211424166,-1.2895877202823498,1.242,0.25775939604600256,1.21875,1.202375,0.22982122807739064,0.875,0.3036631820372697,0.2546350329393031,-1.65732,0.12482795199793993,-6.18578,0.19824023708621819,-63.8182,0.9119477835929002,2.9000000000000057,0.984,0.0,0.0,0.0,0.0
abnormal,1,high_speed_60kph,60.0,0.0,30,0.9524010416666666,0.9416125,0.931875,0.922371875,1.1929999999999978,-0.09553666666666667,-1.56558,56.22390625,0.6880237883957484,2.25,56.22811583845032,0.4733767333984375,57.40625,1.0209527408668975,1.00007485407287,0.07722121720640153,-1.3299191964643196,1.2315625,0.21232046643870675,0.9375,1.1544375,0.2116772583882123,0.96875,0.24730619779688093,0.2162298671986597,-1.56558,0.1072728465176533,-5.732200000000001,0.1482793309939049,-62.07459999999999,0.4397440619269346,1.0,0.48,0.0,0.0,0.0,0.0
abnormal,1,high_speed_60kph,60.0,0.0,31,0.951471875,0.941396875,0.9309260416666666,0.9215375,1.2121562499999996,-0.09049566666666667,-1.51152,56.179984375,0.6925952239852,2.28125,56.18425342139496,0.4796881442871094,57.375,1.0211935815624458,1.0000759709417237,0.046080699062265536,-1.3571986669292337,1.23275,0.26677196488761706,1.21875,1.1915625,0.21722931252192926,0.875,0.24511170922662998,0.22018574367735527,-1.51152,0.12344751759351016,-5.42974,0.339529869672758,-57.9092,2.8823801553577213,11.099999999999994,5.792,0.0,0.0,0.0,0.0
abnormal,1,high_speed_60kph,60.0,0.0,32,0.9472291666666667,0.9419916666666667,0.9271020833333333,0.9235302083333334,1.1576562500000023,-0.043342,-0.7617400000000001,56.097796875,0.6225896723737749,2.125,56.10125160929038,0.38761790014648445,57.1875,1.0193622662630129,1.0000615663077912,0.07606308098578997,-1.54790162627161,1.207625,0.20871927169046944,1.03125,1.1076875,0.2702774254701084,1.40625,0.30067122825438414,0.2651242264840201,-0.7617400000000001,0.33836485101144886,-2.60052,1.1396793099815403,-36.83839999999999,7.978681936259899,29.1,19.176,0.0,0.0,0.0,0.0
abnormal,1,high_speed_60kph,60.0,0.0,33,0.943865625,0.9432125,0.923140625,0.9257885416666666,1.1444687500000015,0.004858333333333333,-0.07810000000000002,56.040109375,0.6008661779617482,2.21875,56.04333054811947,0.36104016381835935,57.1875,1.0204157822219784,1.0000574619339242,0.013261498927370613,-1.5529822245383766,1.2435,0.24805638219969267,0.84375,1.0454375,0.24907619159355637,1.03125,0.2592007773305281,0.2238620180490652,-0.07810000000000002,0.11204905175859366,0.2915,0.2563598057418518,-20.192799999999995,0.722764249254209,2.400000000000002,1.032,0.0,0.0,0.0,0.0
abnormal,1,high_speed_60kph,60.0,0.0,34,0.9435677083333334,0.9436947916666667,0.9226270833333333,0.9262166666666667,1.152562500000002,0.014505333333333334,-0.0087,56.04159375,0.6061166404545725,2.375,56.04487137483567,0.36737738183593743,57.25,1.021502906048287,1.0000584677300903,-0.01642886955852299,-1.5309522744704396,1.2564375,0.22426869870481256,0.96875,1.0486875,0.2529100862337246,1.125,0.22772753045031685,0.22793300139514683,-0.0087,0.12449301185207144,0.87032,0.30003782694853665,-16.7502,1.993755240745464,5.700000000000001,3.232,0.0,0.0,0.0,0.0
abnormal,1,high_speed_60kph,60.0,0.0,35,0.9437270833333333,0.9441010416666666,0.9229031249999999,0.92690625,1.1405625000000015,0.02013166666666667,0.05551999999999999,56.0645625,0.5976056097826978,2.21875,56.06774742025267,0.35713246484375005,57.15625,1.019414041234339,1.0000567902442097,-0.045784240562906406,-1.555924626589863,1.2494375,0.23001714440178148,1.0,1.0316875,0.22679364071496802,0.96875,0.1834736335791876,0.19607327831387425,0.05551999999999999,0.11427829890228504,1.2079000000000002,0.16039635282636572,-14.604800000000001,1.0372545299973386,2.5999999999999996,1.288,0.0,0.0,0.0,0.0
abnormal,1,high_speed_60kph,60.0,0.0,36,0.9438208333333333,0.9445239583333334,0.9229104166666667,0.9276739583333333,1.1328125,0.022775,0.12528,56.0839375,0.6341251078010948,3.53125,56.08752232142413,0.40211465234375005,57.75,1.0296407575183633,1.0000639010297776,-0.133908683455243,-0.9696089894591804,1.254625,0.32329192980184335,1.875,1.011,0.40653367019227327,2.5,0.2985634550958138,0.28616654760602256,0.12528,0.19909324850431268,1.3665,0.3595552113375635,-13.809,0.5590518759471255,1.5999999999999996,1.344,0.0,0.0,0.0,0.0
abnormal,1,high_speed_60kph,60.0,0.0,37,0.9449989583333332,0.946190625,0.9236625,0.9288572916666666,1.1600937500000015,0.025140666666666665,0.15144,56.155640625,0.628582016381601,3.21875,56.15915855277275,0.39511535131835934,58.15625,1.0355612595190387,1.000062628218127,0.09190910741647232,-1.010806221642143,1.2801875,0.22321523910510682,1.0,1.04,0.33421666812114564,2.03125,0.3450501775104601,0.23985942334782265,0.15144,0.14391499713372474,1.50844,0.24453131987538937,-11.152,1.8356295922652806,6.8,4.176,0.0,0.0,0.0,0.0
