,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9
rms,52.17353770935392,75.98136802604554,76.85439937391352,76.43325564411982,76.08112322085469,76.67486046001324,19.88797178887279,20.28785461604738,19.61192513298669,19.97345714277764
std,15.98038451838593,1.044567290421613,0.2053621420198961,0.3536469538519313,0.1681061211519378,0.2728459673057309,1.396588919251116,1.1330987983043448,2.470593314209918,0.548023704294577
variance,255.37268935546876,1.0911208242187502,0.042173609375,0.12506616796875,0.0282596679687499,0.074444921875,1.950460609375,1.28391288671875,6.103831324218748,0.30032998046875
crest_factor,1.3859995540811387,1.0278013153597123,1.0088069210299002,1.0135476939606174,1.0059164055430496,1.0083161486849956,1.0794841338226178,1.1383041941622156,1.124953305215892,1.0967680679116314
shape_factor,1.0504893360636536,1.0000945127059837,1.0000035700609893,1.0000107041479585,1.0000024410957695,1.0000063314505432,1.0024747768647562,1.0015633305155465,1.008030434955675,1.0003766235759095
clearance_factor,10.260866978213135,8.959489104875866,8.843887201059813,8.861101138556219,8.774065638980067,8.829265870741228,4.820013317919989,5.131160577008258,5.0018588473139465,4.90256303112509
np4,1.306648155457803,1.0007403816169074,1.0000285524151242,1.0000857144806,1.0000195289616864,1.000050536424216,1.0170035232648456,1.0131979374738669,1.04624948158085,1.0030398315170037
skew,-0.3760269396410863,-1.5060786460285038,-0.102402093792921,0.211869306350263,0.0076864530417265,-0.634658296956609,-2.001331962875621,1.067694795485092,-2.2612331556990117,0.3638350982256287
kurt,-1.121125196722839,3.080498488867473,-0.0589748230250233,-0.7742700503932616,-0.7116305314734404,0.0769534806433855,3.803099803480389,-0.2947050689882955,4.818003955718094,-0.6563230485761964
rel_diff_fl_rl_mean,0.0314931012184494,0.0238833131366316,0.0219420742990098,0.0222011416304546,0.0230387655522764,0.0220361235599805,0.0242829331350794,0.0242528072460664,0.0251274574800073,0.0225247213320299
rel_diff_fl_rl_std,0.0093128959099272,0.0046908715856743,0.004465450678332,0.0042429577850788,0.0041194784419979,0.004256693027906,0.0102750695393241,0.0094057525113308,0.0132516112881475,0.0130015791922059
rel_diff_fl_rl_p2p,0.0440436171728284,0.0278952301121664,0.0256806849877036,0.0240334878973902,0.0199125026380954,0.0244523470009188,0.1321281926190899,0.0935558978246102,0.1368810913307794,0.0948143173791072
rel_diff_fr_rr_mean,0.026954693709771,0.0210937901254149,0.0277782170647638,0.0223486575216869,0.0185277540171379,0.0256069951152333,0.0200198090406948,0.0193972561489691,0.0214838131917261,0.0179894364840626
rel_diff_fr_rr_std,0.0077062159251927,0.0048200491021361,0.0036840443776132,0.0058915503913487,0.0040228248033948,0.0048682954816546,0.0102655377106209,0.0093366515328256,0.0144460201170389,0.0133359916710684
rel_diff_fr_rr_p2p,0.0363838576645104,0.0428837119634798,0.0207102298287932,0.0422657890609275,0.0182531274182541,0.0236234538822435,0.0859629204991669,0.0701669233684576,0.1792490481712588,0.1106167036089584
rel_diff_fl_fr_std,0.0024305910764469,0.0053401020893308,0.0044884377457042,0.0064515010926477,0.0029053848803164,0.0054496980518085,0.0066760055874725,0.0055861010624495,0.0090801323321735,0.0079881179620196
rel_diff_rl_rr_std,0.0050772636599172,0.0075361180867745,0.0042293997921948,0.0106656926639017,0.0036349063972837,0.0079544658494176,0.0084428663913761,0.0081847450272203,0.0125509611406815,0.0102569538591059
norm_rolling_var_mean,0.0011259445094526,2.4948471414753824e-05,5.674391428700289e-06,5.216289054804467e-06,4.210570542041816e-06,5.0818836880564265e-06,0.0003018399182988,8.379166014411029e-05,0.0013350920348206,0.0001198902022304
norm_rolling_var_max,0.0020085766419011,0.0001052964654173,8.195958105571675e-06,7.349503994630366e-06,5.425549298210265e-06,7.059170189190217e-06,0.0027864940329592,0.0002886071464396,0.0102476964694285,0.0003036951919422
norm_p2p,1.1023670559054315,0.0803549165917631,0.0161539792664587,0.0240334878973902,0.011615626538889,0.0190645417295299,0.3661383650890443,0.1995859153591684,0.6518147206227594,0.1501226691835865
norm_rms,1.065698004138163,1.0123069828411932,1.0186702556080725,1.0134939169550814,1.0099770445630234,1.0168842273709957,1.01311297053425,1.0122925085543868,1.0226673201145755,1.0100105091697684
