scenario,state,label,window_index,start_time_sec,end_time_sec,speed_kph,grade_pct,slip_ratio_fl,slip_ratio_fr,slip_ratio_rl,slip_ratio_rr,slip_diff_front_rear,norm_yaw_rate,norm_lat_accel,mean,std,p2p,rms,variance,peak,crest_factor,shape_factor,skew,kurt,diff_fl_rl_mean,diff_fl_rl_std,diff_fl_rl_p2p,diff_fr_rr_mean,diff_fr_rr_std,diff_fr_rr_p2p,diff_fl_fr_std,diff_rl_rr_std,lat_accel_mean,lat_accel_std,yaw_rate_mean,yaw_rate_std,sas_angle_mean,sas_angle_std,sas_angle_p2p,sas_speed_mean,accel_pedal_mean,accel_pedal_max,brake_pedal_mean,brake_pedal_max,dimless_std,dimless_p2p,dimless_diff_fr_rr_std,pedal_slip_response,audio_rms,audio_peak,audio_crest_factor,audio_kurtosis,audio_hilbert_env_mean,audio_hilbert_env_std,audio_hilbert_env_peak,audio_hilbert_env_crest,audio_hilbert_env_kurtosis,audio_shockwave_energy_ratio,audio_shockwave_pulse_count,audio_stft_2k8_db,audio_stft_harmonic_db,audio_spectral_centroid
abnormal_steering_pad_40kph,abnormal,1,14,10.0007,10.7127,40.0,0.0,0.9265625,0.956065625,0.900496875,0.9400375,0.8418750000000017,0.369268,2.8824800000000006,37.231625,0.8457754947384086,3.3125,37.24123032779831,0.7153361874999999,38.8125,1.0421916412583498,1.0002579615458729,-0.276204164815737,-0.9421438789592776,1.042625,0.2861645341844443,1.1875,0.641125,0.3041409264222754,1.5625,0.2121787645477275,0.3230068933087962,2.8824800000000006,0.223455251896213,14.77072,0.7013149660459274,97.30639999999998,0.218812796700744,0.6000000000000085,0.672,45.5,56.0,0.0,0.0,0.0227165882428824,0.0889700624133381,0.0081688867037706,0.0066844159653247,0.106812,0.463826,4.3424,1.6166,0.103523,0.110003,0.483052,4.6661,-0.4893,0.2775,91,-37.83,-51.93,4224.7
abnormal_steering_pad_40kph,abnormal,1,15,10.7146,11.4263,40.0,0.0,0.929275,0.9582875,0.903484375,0.941546875,0.8506249999999937,0.3642769999999999,2.9439999999999995,37.3259375,0.8128707687687816,2.9375,37.33478765361637,0.66075888671875,38.78125,1.0387429900783307,1.0002370778598473,-0.2848093720556464,-1.0525360513622704,1.031625,0.1995205581512842,0.75,0.669625,0.1869492327478238,0.84375,0.1637616408076079,0.1548739406743432,2.9439999999999995,0.2152096652104639,14.571079999999998,0.4196761055862008,94.59680000000002,1.8078467191662035,4.6000000000000085,5.648,45.784,61.0,0.0,0.0,0.0217776383719439,0.0786986261229205,0.0050085609436554,0.0040832874529928,0.100597,0.421817,4.1932,1.1039,0.106141,0.094728,0.473074,4.457,-0.4489,0.2582,82,-38.77,-51.56,4346.6
abnormal_steering_pad_40kph,abnormal,1,16,11.4304,12.1404,40.0,0.0,0.927584375,0.955775,0.903871875,0.940721875,0.7753124999999983,0.350496,2.80024,37.27953125,0.7853641515793406,2.9375,37.28780292629632,0.6167968505859375,38.75,1.0392137889534574,1.000221855688555,-0.2535039677143496,-1.1071401247324495,0.9485,0.2450687403566599,1.28125,0.602125,0.2032840146814303,1.125,0.2545003990664848,0.1637803407005859,2.80024,0.129993624459048,14.01984,0.3663822790474452,90.3464,2.0750727794465424,7.0,7.424,4.3,40.0,0.0,0.0,0.0210668998575281,0.0787965916282812,0.0054529659538417,0.0472753522514954,0.103396,0.472432,4.5691,1.4763,0.104749,0.102025,0.495793,4.7331,-0.2737,0.2794,74,-37.05,-51.72,4289.4
abnormal_steering_pad_40kph,abnormal,1,17,12.1427,12.8547,40.0,0.0,0.924009375,0.953490625,0.900534375,0.937665625,0.7860000000000014,0.346659,2.82364,37.157,0.818030112908443,3.375,37.16600358211285,0.6691732656249999,39.0625,1.0510276915479877,1.0002422849495538,-0.1748192595713204,-0.987149634209131,0.939,0.295985008066287,1.28125,0.633,0.3313066932616967,1.71875,0.4790394686244548,0.1794556003584173,2.82364,0.242217981165726,13.86636,0.5459831045004965,91.1828,3.698094666176082,8.599999999999994,11.296,0.0,0.0,0.0,0.0,0.0220155048283888,0.0908307990419032,0.0089164004968564,0.3313066932616967,0.103825,0.466605,4.4942,1.4074,0.111865,0.095108,0.500259,4.472,0.0489,0.2753,80,-38.05,-52.2,4368.0
abnormal_steering_pad_40kph,abnormal,1,18,12.8563,13.5704,40.0,0.0,0.9136125,0.943396875,0.891275,0.9273375,0.767937499999995,0.349898,2.79576,36.75621875,0.8106007845024192,3.21875,36.765155928265656,0.6570736318359375,38.46875,1.0463371630660605,1.0002431201665034,-0.0741900928372067,-0.9419245904159954,0.8935,0.362599038195084,2.125,0.642375,0.3682396680492203,1.78125,0.486028050245045,0.1579359047208708,2.79576,0.1396954630616184,13.99592,0.3112377766274524,91.428,1.400462780655022,4.599999999999994,10.08,0.0,0.0,0.0,0.0,0.0220534323733291,0.0875702155842676,0.0100184317259027,0.3682396680492203,0.107941,0.452949,4.1963,1.3734,0.115752,0.099518,0.501903,4.336,0.0196,0.2751,84,-39.8,-52.18,4325.4
abnormal_steering_pad_40kph,abnormal,1,19,13.5729,14.2828,40.0,0.0,0.904278125,0.9335,0.8807499999999999,0.918296875,0.7746250000000074,0.356555,2.80896,36.36825,0.8254291876048484,3.84375,36.37761593901187,0.68133334375,38.71875,1.0643564163346135,1.0002575031450336,-0.0629548464235809,-0.7424527283036659,0.941125,0.3703231063881917,1.90625,0.608125,0.3939984335311499,2.09375,0.5833101796000135,0.1698586268783543,2.80896,0.1469684265412132,14.2622,0.2509843819842181,94.284,0.2538976171609339,1.0,0.896,17.424,81.0,0.0,0.0,0.0226964230504588,0.105689715617331,0.0108335824113381,0.022612398618638,0.027912,0.148308,5.3133,0.9524,0.032514,0.022383,0.163129,5.0172,0.7814,0.2525,143,-50.97,-56.18,5272.9
abnormal_steering_pad_40kph,abnormal,1,20,14.2862,14.9961,40.0,0.0,0.9129,0.94165625,0.885765625,0.924290625,0.8899999999999935,0.363929,2.99944,36.646125,0.8645057204119588,3.375,36.65632070538791,0.747370140625,38.1875,1.0417711931633074,1.0002781932635365,-0.2810199209271449,-0.934347680343691,1.085375,0.2713467857281527,1.25,0.694625,0.2056240881438748,1.21875,0.1868612453132002,0.1512663214334241,2.99944,0.2026733490126415,14.55716,0.5303481256684142,99.4096,3.5616608260753844,9.700000000000005,11.936,71.124,79.0,0.0,0.0,0.0235906448611404,0.0920970498245039,0.0056110731528606,0.0028910647340401,0.034532,0.153358,4.441,0.8496,0.039774,0.028337,0.166255,4.18,0.2128,0.2496,153,-48.69,-55.94,4905.9
abnormal_steering_pad_40kph,abnormal,1,21,15.0005,15.7127,40.0,0.0,0.928028125,0.958821875,0.90055,0.9416875,0.8922499999999971,0.387405,3.20184,37.290875,0.8701074915635424,3.25,37.301024722016685,0.7570870468750001,38.75,1.0388454271681884,1.0002721502712,-0.3138404348502441,-1.0223580908715688,1.099125,0.2148364566943888,0.75,0.685375,0.1625221619503014,0.75,0.1583944838054659,0.1773768939292827,3.20184,0.1395586414379274,15.4962,0.1790272604940376,103.618,0.5769887347253859,2.300000000000012,2.752,58.736,68.0,0.0,0.0,0.0233329867310311,0.0871526881576257,0.0043582287074331,0.002766994040287,0.073894,0.376841,5.0997,1.4133,0.082619,0.063991,0.380906,4.6104,0.5308,0.2767,98,-42.06,-53.63,4536.7
abnormal_steering_pad_40kph,abnormal,1,22,15.7148,16.4262,40.0,0.0,0.93348125,0.96513125,0.9063875,0.9480875,0.8827500000000015,0.388809,3.21828,37.530875,0.8709492486649265,3.0625,37.54097935402558,0.75855259375,38.9375,1.03719987152186,1.0002692011245775,-0.2962713720545704,-1.0838106294795644,1.08375,0.1480128795071564,0.65625,0.68175,0.1694146171379553,0.59375,0.1381866943667153,0.1656740021850139,3.21828,0.1612967501222514,15.55236,0.2732786680295409,101.8948,0.9362547516568313,2.1999999999999886,2.576,42.864,45.0,0.0,0.0,0.0232062068540881,0.081599483092254,0.004514006591585,0.0039523753531624,0.074288,0.350845,4.7227,0.8733,0.0853,0.061331,0.354356,4.1542,0.3059,0.2543,85,-38.17,-53.0,4479.8
abnormal_steering_pad_40kph,abnormal,1,23,16.4305,17.1406,40.0,0.0,0.93553125,0.9674375,0.9089375,0.95033125,0.8740000000000023,0.384239,3.192400000000001,37.622375,0.8727890280589004,3.40625,37.63249741019223,0.7617606874999999,39.46875,1.0487943045872938,1.0002690263419896,-0.229947556838989,-1.0337319761613957,1.06375,0.0897827238392776,0.375,0.68425,0.2613164987137245,1.28125,0.2201703885630399,0.1907626142618096,3.192400000000001,0.1884670793533979,15.36956,0.3113419444919043,100.4536,1.825444340427829,4.799999999999997,5.232,41.284,45.0,0.0,0.0,0.0231986690914356,0.0905378780579376,0.0069457735912133,0.0063297281928525,0.125645,0.441972,3.5176,-0.0868,0.153422,0.089639,0.472756,3.0814,-0.4136,0.1948,97,-36.19,-48.77,4306.8
