scenario,window_index,start_time_sec,end_time_sec,state,label,audio_rms,audio_peak,audio_crest_factor,audio_kurtosis,audio_hilbert_env_mean,audio_hilbert_env_std,audio_hilbert_env_peak,audio_hilbert_env_crest,audio_hilbert_env_kurtosis,audio_shockwave_energy_ratio,audio_shockwave_pulse_count,audio_stft_2k8_db,audio_stft_harmonic_db,audio_spectral_centroid
abnormal_high_speed_20kph,164,117.1402,117.8557,abnormal,1,0.049782,0.171272,3.4404,-0.4684,0.063929,0.029489,0.174891,2.7357,-0.4406,0.1609,87,-59.06,-64.45,3586.1
abnormal_high_speed_20kph,165,117.8568,118.5666,abnormal,1,0.052092,0.175363,3.3664,-0.4905,0.067222,0.030137,0.182412,2.7136,-0.3539,0.1612,69,-58.55,-64.44,3576.1
abnormal_high_speed_20kph,166,118.5692,119.2802,abnormal,1,0.05184,0.203302,3.9217,-0.3988,0.066778,0.030257,0.209698,3.1402,0.225,0.1713,70,-57.6,-64.24,3612.9
abnormal_high_speed_20kph,167,119.2858,119.9966,abnormal,1,0.054433,0.18149,3.3342,-0.6375,0.071193,0.029281,0.191597,2.6912,-0.2148,0.1511,79,-57.17,-64.08,3620.2
abnormal_high_speed_20kph,168,119.9992,120.7091,abnormal,1,0.055141,0.203348,3.6878,-0.54,0.07165,0.030779,0.20812,2.9047,-0.1397,0.159,76,-56.68,-64.02,3620.6
abnormal_high_speed_20kph,169,120.716,121.426,abnormal,1,0.053242,0.184049,3.4569,-0.4924,0.068909,0.030347,0.188891,2.7412,-0.1283,0.1646,69,-57.38,-63.99,3667.4
abnormal_high_speed_20kph,170,121.4265,122.1393,abnormal,1,0.052199,0.175589,3.3638,-0.4405,0.067089,0.0308,0.184894,2.756,-0.3116,0.165,77,-57.89,-63.75,3644.1
abnormal_high_speed_20kph,171,122.1402,122.8558,abnormal,1,0.051465,0.167935,3.2631,-0.4945,0.06635,0.029917,0.172088,2.5937,-0.3534,0.1619,73,-57.27,-64.0,3673.9
abnormal_high_speed_20kph,172,122.8564,123.5663,abnormal,1,0.051998,0.171616,3.3004,-0.5074,0.067249,0.029753,0.183241,2.7248,-0.2957,0.1609,77,-57.06,-63.89,3629.6
abnormal_high_speed_20kph,173,123.5692,124.2802,abnormal,1,0.050942,0.18351,3.6024,-0.4017,0.065281,0.03047,0.208844,3.1991,-0.268,0.1691,77,-57.12,-64.07,3654.5
abnormal_high_speed_20kph,174,124.2859,124.9962,abnormal,1,0.046418,0.171526,3.6952,-0.347,0.059328,0.028097,0.181362,3.0569,-0.1376,0.1732,75,-57.55,-64.26,3707.9
abnormal_high_speed_20kph,175,124.9992,125.7091,abnormal,1,0.044795,0.175955,3.928,-0.2414,0.056908,0.027832,0.185907,3.2668,0.0874,0.1847,84,-57.48,-64.42,3679.4
abnormal_high_speed_20kph,176,125.7159,126.426,abnormal,1,0.043157,0.159342,3.6922,-0.2495,0.054733,0.027005,0.160933,2.9403,-0.1557,0.1821,77,-57.78,-64.13,3717.2
